tf,target,bic_score,n_parents
G306,G77,-257.60939713951757,3
G45,G77,-257.60939713951757,3
G5,G77,-257.60939713951757,3
G89,G19,-357.4589201939638,3
G168,G19,-357.4589201939638,3
G6,G19,-357.4589201939638,3
G23,G87,-398.9332380798064,3
G29,G87,-398.9332380798064,3
G3,G87,-398.9332380798064,3
G19,G89,-419.6703273173869,3
G90,G89,-419.6703273173869,3
G261,G89,-419.6703273173869,3
G136,G56,-550.342402645652,3
G106,G56,-550.342402645652,3
G168,G56,-550.342402645652,3
G258,G13,-552.7950394226817,3
G76,G13,-552.7950394226817,3
G197,G13,-552.7950394226817,3
G29,G23,-556.9806618097327,3
G87,G23,-556.9806618097327,3
G331,G23,-556.9806618097327,3
G130,G26,-587.510591908394,3
G181,G26,-587.510591908394,3
G213,G26,-587.510591908394,3
G318,G93,-614.7396768655974,3
G281,G93,-614.7396768655974,3
G154,G93,-614.7396768655974,3
G17,G29,-659.7346595266346,3
G325,G29,-659.7346595266346,3
G96,G29,-659.7346595266346,3
G29,G55,-665.5239149154856,3
G202,G55,-665.5239149154856,3
G183,G55,-665.5239149154856,3
G226,G36,-678.49808249092,3
G178,G36,-678.49808249092,3
G327,G36,-678.49808249092,3
G1,G82,-681.570946199712,3
G9,G82,-681.570946199712,3
G57,G82,-681.570946199712,3
G24,G52,-683.5460929322722,3
G168,G52,-683.5460929322722,3
G295,G52,-683.5460929322722,3
G178,G48,-688.5293793588702,3
G104,G48,-688.5293793588702,3
G161,G48,-688.5293793588702,3
G321,G37,-689.8771167958804,3
G231,G37,-689.8771167958804,3
G156,G37,-689.8771167958804,3
G102,G31,-690.1582881383307,3
G304,G31,-690.1582881383307,3
G265,G31,-690.1582881383307,3
G164,G16,-697.2775648156761,3
G167,G16,-697.2775648156761,3
G190,G16,-697.2775648156761,3
G183,G57,-697.6294087962373,3
G82,G57,-697.6294087962373,3
G172,G57,-697.6294087962373,3
G260,G5,-698.061395486883,3
G136,G5,-698.061395486883,3
G221,G5,-698.061395486883,3
G56,G75,-724.1482710121691,3
G278,G75,-724.1482710121691,3
G311,G75,-724.1482710121691,3
G113,G90,-724.5815654399443,3
G284,G90,-724.5815654399443,3
G87,G90,-724.5815654399443,3
G172,G3,-727.6482275422755,3
G242,G3,-727.6482275422755,3
G201,G3,-727.6482275422755,3
G283,G86,-740.8124036675761,3
G29,G86,-740.8124036675761,3
G127,G86,-740.8124036675761,3
G221,G94,-774.3857143034589,3
G310,G94,-774.3857143034589,3
G224,G94,-774.3857143034589,3
G29,G17,-775.0120073575819,3
G112,G17,-775.0120073575819,3
G295,G17,-775.0120073575819,3
G52,G24,-775.138077848125,3
G193,G24,-775.138077848125,3
G87,G24,-775.138077848125,3
G141,G1,-785.7539112070533,3
G293,G1,-785.7539112070533,3
G271,G1,-785.7539112070533,3
G3,G58,-797.7816807341788,3
G63,G58,-797.7816807341788,3
G207,G58,-797.7816807341788,3
G87,G84,-812.3855519211869,3
G118,G84,-812.3855519211869,3
G8,G84,-812.3855519211869,3
G172,G80,-819.4757236110187,3
G326,G80,-819.4757236110187,3
G65,G80,-819.4757236110187,3
G171,G67,-821.6970255216648,3
G92,G67,-821.6970255216648,3
G13,G67,-821.6970255216648,3
G165,G99,-822.5277243262582,3
G321,G99,-822.5277243262582,3
G129,G99,-822.5277243262582,3
G217,G100,-823.4339932664474,3
G205,G100,-823.4339932664474,3
G188,G100,-823.4339932664474,3
G29,G96,-826.3663937292689,3
G71,G96,-826.3663937292689,3
G47,G96,-826.3663937292689,3
G46,G4,-826.8057562003427,3
G233,G4,-826.8057562003427,3
G167,G4,-826.8057562003427,3
G128,G45,-829.2749729842186,3
G174,G45,-829.2749729842186,3
G303,G45,-829.2749729842186,3
G145,G83,-835.8408211635376,3
G260,G83,-835.8408211635376,3
G245,G83,-835.8408211635376,3
G66,G74,-844.4688718834212,3
G328,G74,-844.4688718834212,3
G183,G74,-844.4688718834212,3
G292,G35,-850.1871932154157,3
G117,G35,-850.1871932154157,3
G221,G35,-850.1871932154157,3
G147,G51,-852.1787443142521,3
G153,G51,-852.1787443142521,3
G166,G51,-852.1787443142521,3
G124,G42,-856.0396884244549,3
G154,G42,-856.0396884244549,3
G287,G42,-856.0396884244549,3
G327,G79,-856.0630184747986,3
G163,G79,-856.0630184747986,3
G41,G79,-856.0630184747986,3
G203,G97,-858.2366843112562,3
G323,G97,-858.2366843112562,3
G43,G97,-858.2366843112562,3
G120,G18,-859.703123713268,3
G218,G18,-859.703123713268,3
G275,G18,-859.703123713268,3
G295,G27,-862.8034945659692,3
G242,G27,-862.8034945659692,3
G333,G27,-862.8034945659692,3
G253,G72,-865.8986564163723,3
G298,G72,-865.8986564163723,3
G168,G72,-865.8986564163723,3
G305,G73,-866.8457416837555,3
G182,G73,-866.8457416837555,3
G265,G73,-866.8457416837555,3
G61,G47,-867.7783650861784,3
G96,G47,-867.7783650861784,3
G143,G47,-867.7783650861784,3
G226,G69,-873.4093892257919,3
G296,G69,-873.4093892257919,3
G23,G69,-873.4093892257919,3
G198,G9,-874.22118240878,3
G286,G9,-874.22118240878,3
G47,G9,-874.22118240878,3
G187,G25,-876.1420319561258,3
G206,G25,-876.1420319561258,3
G145,G25,-876.1420319561258,3
G212,G39,-881.2253702705185,3
G164,G39,-881.2253702705185,3
G203,G39,-881.2253702705185,3
G140,G21,-888.7143462280044,3
G191,G21,-888.7143462280044,3
G17,G21,-888.7143462280044,3
G102,G41,-890.3833995929693,3
G286,G41,-890.3833995929693,3
G203,G41,-890.3833995929693,3
G151,G12,-890.4804048264472,3
G32,G12,-890.4804048264472,3
G327,G12,-890.4804048264472,3
G275,G54,-890.613452072648,3
G129,G54,-890.613452072648,3
G271,G54,-890.613452072648,3
G263,G38,-893.7684125812244,3
G190,G38,-893.7684125812244,3
G101,G38,-893.7684125812244,3
G87,G46,-894.175899845728,3
G4,G46,-894.175899845728,3
G61,G46,-894.175899845728,3
G321,G33,-904.321996399722,3
G26,G33,-904.321996399722,3
G129,G33,-904.321996399722,3
G57,G14,-906.1291969407513,3
G45,G14,-906.1291969407513,3
G322,G14,-906.1291969407513,3
G67,G92,-906.1299604605218,3
G263,G92,-906.1299604605218,3
G168,G92,-906.1299604605218,3
G47,G61,-906.7691019344312,3
G260,G61,-906.7691019344312,3
G177,G61,-906.7691019344312,3
G40,G7,-910.681907654904,3
G207,G7,-910.681907654904,3
G191,G7,-910.681907654904,3
G66,G44,-914.121850886915,3
G298,G44,-914.121850886915,3
G211,G44,-914.121850886915,3
G57,G20,-916.1791435850001,3
G26,G20,-916.1791435850001,3
G203,G20,-916.1791435850001,3
G119,G85,-918.3355959176218,3
G172,G85,-918.3355959176218,3
G241,G85,-918.3355959176218,3
G198,G59,-920.2596275889639,3
G317,G59,-920.2596275889639,3
G200,G59,-920.2596275889639,3
G146,G2,-926.0629375201737,3
G87,G2,-926.0629375201737,3
G89,G2,-926.0629375201737,3
G20,G43,-930.6606414537888,3
G105,G43,-930.6606414537888,3
G97,G43,-930.6606414537888,3
G96,G71,-931.176891659909,3
G74,G71,-931.176891659909,3
G215,G71,-931.176891659909,3
G236,G8,-932.8557033531641,3
G200,G8,-932.8557033531641,3
G197,G8,-932.8557033531641,3
G149,G76,-938.617996368335,3
G13,G76,-938.617996368335,3
G334,G76,-938.617996368335,3
G59,G62,-939.544600084086,3
G51,G62,-939.544600084086,3
G164,G62,-939.544600084086,3
G48,G95,-941.9538836759616,3
G118,G95,-941.9538836759616,3
G181,G95,-941.9538836759616,3
G161,G63,-946.0582188028501,3
G58,G63,-946.0582188028501,3
G329,G63,-946.0582188028501,3
G328,G6,-946.4799257628282,3
G62,G6,-946.4799257628282,3
G19,G6,-946.4799257628282,3
G328,G32,-948.3222555850099,3
G214,G32,-948.3222555850099,3
G128,G32,-948.3222555850099,3
G47,G68,-957.0044527576996,3
G149,G68,-957.0044527576996,3
G199,G68,-957.0044527576996,3
G285,G65,-957.9414092283955,3
G258,G65,-957.9414092283955,3
G60,G65,-957.9414092283955,3
G193,G91,-958.2740955059065,3
G71,G91,-958.2740955059065,3
G176,G91,-958.2740955059065,3
G116,G78,-960.0463394778657,3
G40,G78,-960.0463394778657,3
G193,G78,-960.0463394778657,3
G175,G40,-961.8467235767652,3
G319,G40,-961.8467235767652,3
G143,G40,-961.8467235767652,3
G314,G66,-966.5884021694004,3
G44,G66,-966.5884021694004,3
G200,G66,-966.5884021694004,3
G110,G22,-982.4422295317643,3
G21,G22,-982.4422295317643,3
G105,G22,-982.4422295317643,3
G286,G53,-993.3552737272396,3
G46,G53,-993.3552737272396,3
G246,G53,-993.3552737272396,3
G329,G10,-1006.5423046860816,3
G211,G10,-1006.5423046860816,3
G198,G10,-1006.5423046860816,3
G135,G60,-1046.2034287683978,3
G177,G60,-1046.2034287683978,3
G4,G60,-1046.2034287683978,3
G36,G11,-1060.2497850986147,3
G306,G11,-1060.2497850986147,3
G145,G11,-1060.2497850986147,3
G177,G70,-1141.7884161008483,1
G162,G88,-1144.9226613794012,2
G84,G88,-1144.9226613794012,2
G270,G49,-1145.2763149289942,1
G21,G34,-1146.462038499573,3
G320,G34,-1146.462038499573,3
G297,G34,-1146.462038499573,3
G62,G30,-1146.7193850060676,1
G316,G81,-1147.907372926473,1
G290,G50,-1148.132548450358,2
G288,G50,-1148.132548450358,2
G227,G15,-1148.4556576036275,1
