tf,edge_probability,beta,target
G306,0.2748572520282987,0.9121681423399911,G77
G89,0.2232817225613795,0.8958044083193618,G19
G19,0.21865972736111583,0.8958044083193514,G89
G87,0.20770811276817192,0.8290413775464559,G23
G197,0.20720628083399042,0.8250030078929373,G13
G76,0.19935280899873362,0.5773345435038564,G13
G136,0.19534290611332808,0.8013141594981692,G56
G183,0.19244022198583455,0.7567029435337362,G55
G23,0.1909991396354397,0.8290413775464119,G87
G325,0.19020516356211148,0.7508732884607995,G87
G291,0.188987355997166,0.8167822095825688,G87
G106,0.18750823339070075,0.7766630753891124,G56
G141,0.1855344510310444,0.6054886300910663,G1
G13,0.1848446484277423,0.5773345435038277,G76
G56,0.18208574749323533,0.6892600111888479,G75
G318,0.18181938160845373,0.7834927450065107,G93
G238,0.18096685435585605,0.6353712768223835,G1
G156,0.18022276785836913,0.7664946151548756,G37
G183,0.17987797146340911,0.7495764987114227,G87
G270,0.17734663883440505,0.6463077682202584,G1
G136,0.17246493365638702,0.5672711422428673,G1
G154,0.1720970662453109,0.7851430145020606,G93
G271,0.17176834973545374,0.6486809321574625,G1
G56,0.17087666907287086,0.5422174285445562,G1
G183,0.17013647321223327,-0.5831758995927535,G1
G1,0.17008398492242963,0.24771955640446525,G76
G193,0.17006692043856542,0.41019960840550407,G76
G287,0.1697540349030601,0.5424148129962137,G1
G278,0.16928529316770025,0.7383832027031401,G87
G231,0.169263294708126,0.7178216605945726,G37
G213,0.16896179719676335,0.7568418494985703,G26
G18,0.1687607425417565,0.3211054503794332,G76
G141,0.1682596052522445,0.17093079492948665,G76
G154,0.1678573376677278,0.20306162319802684,G76
G114,0.1676708970122841,0.18311171424430733,G76
G218,0.1676618826423732,0.2445528529480281,G76
G5,0.1675975894284795,0.6203793576123652,G1
G208,0.1675874800789573,-0.26139011212733604,G76
G75,0.16721653330211278,0.21727184837227057,G76
G106,0.16717820664142968,0.3607463850856091,G76
G136,0.16713621562327186,0.6498298686466213,G75
G222,0.16681677953220592,0.5932769548309462,G1
G77,0.1665999215801857,0.1890581461000233,G76
G106,0.1665986966093053,0.5356675129792041,G1
G242,0.16655573770691764,-0.16520423440149098,G76
G222,0.16652906591879732,0.09886365603520629,G76
G184,0.16643269608234992,0.1308535767922313,G76
G54,0.16632400364004948,0.1434333826588727,G76
G235,0.16627747164430598,-0.18070881344787673,G76
G90,0.16623583800368366,0.1253752609880413,G76
G178,0.16617683700400737,0.15503008956611586,G76
G263,0.16608018619088974,0.2257225558503667,G76
G105,0.16606761934244466,0.20068173521143393,G76
G318,0.16604762791417185,0.16383693510314493,G76
G301,0.16594977824011975,0.2406405548573538,G76
G56,0.16593693323527595,0.2139856442285459,G76
G93,0.1658821455372429,0.21534343315863141,G76
G334,0.16588054221344692,0.3500438816388571,G76
G269,0.1658267848943017,0.16031556248358547,G76
G238,0.16580826314556177,0.21631990421669522,G76
G136,0.16576499636607617,0.13539628313870955,G76
G273,0.16575990121885534,0.27747206751506687,G76
G139,0.1657281633938934,-0.19777885210273843,G76
G183,0.1657096763292825,-0.33221522775666107,G76
G155,0.16568386922274891,0.16974274500085548,G76
G260,0.16565878454508576,-0.20579033527405433,G76
G302,0.16561183396662005,0.22963257419393887,G76
G323,0.16558089777084373,0.14704208232617905,G76
G78,0.1655480075394328,0.18641835060311224,G76
G179,0.16552628374514927,-0.23484478727516206,G76
G294,0.16550233562635172,0.12899832212805223,G76
G172,0.16550023424187932,-0.26604111366782346,G76
G228,0.16544411512292703,-0.3426494823328237,G76
G167,0.16538070953135448,0.6187988561114196,G4
G48,0.1653608957709674,0.06622428966785279,G76
G107,0.16534017608923868,-0.10780680044196453,G76
G67,0.1653385128183429,0.25584009718820583,G76
G259,0.1653342272048977,0.1779081509213519,G76
G286,0.1653290687134441,0.2788739492373803,G76
G87,0.165316777152732,-0.6487237077581178,G90
G131,0.16530692404613928,0.1312268346294785,G76
G204,0.16530082764058893,-0.13576059030409127,G76
G94,0.16528771116191665,-0.15395372254659853,G76
G5,0.16520962634168754,0.1243212354679013,G76
G169,0.16520632216877681,0.11670071894709147,G76
G250,0.16517150112122686,-0.1720503694678047,G76
G270,0.16502301353968346,0.05603671577761097,G76
G104,0.16499728508806175,0.7272837389394318,G48
G279,0.16499205357653435,0.2501286399046018,G76
G160,0.16496870227502045,0.17733397954399788,G76
G315,0.1649650436631446,0.042512008637676804,G76
G254,0.1649060362026146,0.08331827812469425,G76
G287,0.16488392078159808,0.09278812957001802,G76
G140,0.16486444420766963,-0.15255023874271112,G76
G23,0.164783377774628,-0.27687907650969007,G76
G83,0.16477590535497552,-0.07713356383244954,G76
G306,0.1647745383412397,0.12092094155608184,G76
G272,0.16477416702378506,0.12395065685108787,G76
G41,0.16476218004775423,0.0567539250735074,G76
G8,0.16475940258500676,0.33854283930944074,G76
G7,0.16475313781020118,-0.0825202490600289,G76
G6,0.16475311249074628,-0.07264650683553793,G76
G217,0.16475109880729075,0.057025722199954755,G76
G113,0.1647436653265945,-0.22872859771606346,G76
G82,0.16474219984413296,0.05386276200491626,G76
G289,0.1647213203270897,-0.1134919936849019,G76
G9,0.16471880913031864,0.19407672293363057,G76
G157,0.16470733256091863,0.06248547344998948,G76
G198,0.16468235311049417,0.032078545791275226,G76
G233,0.16466818176268685,-0.03988901745911447,G76
G197,0.16466667086163903,0.4313285406756392,G76
G262,0.1646616730742669,0.14935856850222032,G76
G171,0.1646404422604046,0.22448395784206052,G76
G207,0.16463581299616128,-0.15060879484847645,G76
G310,0.1646306519833174,0.07713279166552758,G76
G212,0.16462838103799857,-0.1569910636566828,G76
G134,0.16462552877019826,-0.044079510409767125,G76
G146,0.16462350934676778,0.12591933046954215,G76
G205,0.1646060344541735,-0.14010845191640672,G76
G325,0.16459513274344267,-0.30146897099934056,G76
G68,0.16458874825712783,0.0537090796142382,G76
G144,0.16457344662600468,0.02465016119708141,G76
G150,0.1645670209585689,0.043171866756005976,G76
G42,0.1645592057460896,0.10312323654949329,G76
G4,0.1645503672144848,-0.06711167659247062,G76
G255,0.1645431162925895,-0.05320381653951496,G76
G62,0.16453748441645916,-0.030064552074043082,G76
G3,0.1645361558848978,-0.20287336334385275,G76
G231,0.16452073071356207,0.2643760736475407,G76
G188,0.1645063007361412,0.13471694750446656,G76
G199,0.16449418308846192,-0.16223450611362222,G76
G170,0.16448845501859308,-0.08172589662367123,G76
G191,0.16448423155495803,-0.14824823266165874,G76
G295,0.1644582297826316,0.01187251347051644,G76
G102,0.16445019508823613,-0.18702659931800386,G76
G330,0.16443397696791487,0.029557908078033008,G76
G247,0.16443222126270157,-0.03443873452115139,G76
G156,0.16441841418502026,0.1406191028395236,G76
G312,0.1644064101568961,0.080752404685386,G76
G232,0.16439935047811108,0.016454438511092448,G76
G226,0.16439652598305324,0.03520196454308049,G76
G186,0.16439599222308576,0.12328505170347957,G76
G221,0.16438208647658994,-0.025874715315697485,G76
G129,0.16437604155456154,0.05732295313688396,G76
G174,0.16437550177264598,-0.03546702692313443,G76
G137,0.1643686227871998,-0.02262714189745909,G76
G183,0.16436571450687074,-0.6432530476974279,G90
G119,0.16436319866646656,-0.017143763672217118,G76
G92,0.16436262258136153,-0.1670788121714266,G76
G271,0.164359804261233,0.00653306186685234,G76
G211,0.1643596611568534,0.08124847613262931,G76
G33,0.16435456935224046,-0.014101686324467304,G76
G275,0.16434269620938993,0.303176858151951,G76
G230,0.16433336692274134,-0.0037862036200331257,G76
G317,0.16432035366322273,0.08145908480804959,G76
G35,0.1643128032066661,0.0425842053034217,G76
G142,0.1643127588240478,0.021766058894058263,G76
G215,0.1643048374556745,-0.014256046128439386,G76
G15,0.16430348543929219,-0.01201784434796702,G76
G101,0.16429298044333868,-0.004384619491999154,G76
G307,0.16429253300418306,-0.01132343752908251,G76
G153,0.16429070151223873,-0.06025366427583187,G76
G51,0.16428932862957055,-0.05254824596465498,G76
G127,0.16428907867514106,0.007239122589484414,G76
G39,0.16428494497346152,-0.05634631707852741,G76
G138,0.16428043226068806,-0.0933627108858904,G76
G264,0.1642797575898982,0.0033612027053859807,G76
G14,0.16427421756848296,-0.004340534320670331,G76
G300,0.16426936023951508,0.004733542733477128,G76
G252,0.1642673752325038,0.010795699184947527,G76
G288,0.16426711401221586,-0.005106450851954971,G76
G59,0.16426216226297713,0.0017517990128903833,G76
G135,0.16425547095252033,0.06754551784779106,G76
G108,0.1642543078976888,-0.003162698759563746,G76
G133,0.1642474617721248,0.019981532316006672,G76
G58,0.16424569771122416,-0.18727347434444327,G76
G266,0.1642452343739911,0.031713281420392224,G76
G30,0.1642415006493164,-0.008999024704850226,G76
G50,0.16423784365425279,0.0067165378142642574,G76
G111,0.164237471722974,-0.0014201707016245756,G76
G38,0.16423678184015508,0.09746394125116613,G76
G309,0.16423464143371366,-0.002862206386054066,G76
G308,0.16423413779966506,0.1409327415729061,G76
G195,0.16423388650493623,-0.03484873383127839,G76
G290,0.1642317635840934,-0.009920993779861798,G76
G126,0.1642278953152443,-0.011358334037062955,G76
G97,0.16422667129649365,0.18375632316306512,G76
G10,0.16422235218281755,-0.021658393756581677,G76
G11,0.16422206074358517,0.014640384930114545,G76
G70,0.16421724357802964,0.03721491262541356,G76
